产品名称,发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,利润率,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
"Safco 墙角架, 黑色",3,3,56,"3,689","2,815",准时装运,2%,56,2014/1/8,中国,华北,保定,书架,廖乐,0%,4,河北,家具,消费者,CN-2014-5172330,2014/1/5,二级,"2,815"
"SanDisk 键区, 回收",5,6,0,585,447,提前装运,0%,0,2014/1/10,中国,华东,常州,配件,贺鹏,40%,3,江苏,技术,小型企业,US-2014-1312334,2014/1/5,标准级,447
"Ibico 装订机, 透明",6,6,75,548,418,准时装运,18%,75,2014/1/11,中国,华东,界首,装订机,韩虎,0%,6,安徽,办公用品,小型企业,CN-2014-5463213,2014/1/5,标准级,418
"Avery 文件夹标签, 白色",2,1,2,112,85,延迟装运,2%,2,2014/1/8,中国,中南,湛江,标签,柯婷,0%,2,广东,办公用品,消费者,US-2014-5165630,2014/1/6,一级,85
"SanDisk 键区, 回收",2,1,198,650,496,延迟装运,40%,198,2014/1/8,中国,中南,湛江,配件,柯婷,0%,2,广东,技术,消费者,US-2014-5165630,2014/1/6,一级,496
"Hoover 微波炉, 黑色",4,6,"-1,553","4,521","3,450",提前装运,-45%,"-1,553",2014/1/11,中国,东北,营口,器具,白立荣,40%,4,辽宁,办公用品,消费者,CN-2014-4080057,2014/1/7,标准级,"3,450"
"Smead 运输标签, 红色",4,6,70,210,160,提前装运,44%,70,2014/1/11,中国,东北,营口,标签,白立荣,0%,3,辽宁,办公用品,消费者,CN-2014-4080057,2014/1/7,标准级,160
"Binney & Smith 记号笔, 金属",4,6,-493,248,189,提前装运,-260%,-493,2014/1/11,中国,东北,营口,美术,白立荣,80%,8,辽宁,办公用品,消费者,CN-2014-4080057,2014/1/7,标准级,189
"Harbour Creations 扶手椅, 可调",4,6,444,"6,987","5,332",提前装运,8%,444,2014/1/11,中国,东北,营口,椅子,白立荣,40%,4,辽宁,家具,消费者,CN-2014-4080057,2014/1/7,标准级,"5,332"
"思科 办公室电话机, 蓝色",4,6,-421,"1,181",901,提前装运,-47%,-421,2014/1/11,中国,东北,营口,电话,白立荣,40%,4,辽宁,技术,消费者,CN-2014-4080057,2014/1/7,标准级,901
"Kleencut 尺子, 工业",1,1,-45,167,128,准时装运,-35%,-45,2014/1/9,中国,中南,武汉,用品,洪毅,40%,3,湖北,办公用品,公司,CN-2014-2554132,2014/1/8,一级,128
"Stockwell 图钉, 金属",1,1,-44,243,186,准时装运,-24%,-44,2014/1/9,中国,中南,武汉,系固件,洪毅,40%,5,湖北,办公用品,公司,CN-2014-2554132,2014/1/8,一级,186
"施乐 计划信息表, 回收",1,1,64,248,189,准时装运,34%,64,2014/1/9,中国,中南,武汉,纸张,洪毅,0%,2,湖北,办公用品,公司,CN-2014-2554132,2014/1/8,一级,189
"Sauder 书库, 白色",1,1,"-1,475","4,295","3,277",准时装运,-45%,"-1,475",2014/1/9,中国,中南,武汉,书架,洪毅,40%,3,湖北,家具,公司,CN-2014-2554132,2014/1/8,一级,"3,277"
"三星 耳机, 混合尺寸",1,1,-206,558,426,准时装运,-48%,-206,2014/1/9,中国,中南,武汉,电话,洪毅,40%,2,湖北,技术,公司,CN-2014-2554132,2014/1/8,一级,426
"Stockwell 橡皮筋, 整包",4,6,-64,178,136,提前装运,-47%,-64,2014/1/13,中国,东北,抚顺,系固件,常光,40%,3,辽宁,办公用品,公司,US-2014-1498954,2014/1/9,标准级,136
"Stiletto 尺子, 蓝色",4,3,25,91,69,延迟装运,36%,25,2014/1/13,中国,中南,周口,用品,涂珑,0%,1,河南,办公用品,小型企业,CN-2014-1410437,2014/1/9,二级,69
"Hoover 微波炉, 银色",4,3,173,"1,892","1,444",延迟装运,12%,173,2014/1/13,中国,西北,铜川,器具,唐栋,0%,1,陕西,办公用品,小型企业,CN-2014-1246652,2014/1/9,二级,"1,444"
"苹果 音频基座, 整包",4,6,"-1,473","5,514","4,208",提前装运,-35%,"-1,473",2014/1/13,中国,东北,抚顺,电话,常光,40%,9,辽宁,技术,公司,US-2014-1498954,2014/1/9,标准级,"4,208"
"松下 计算器, 白色",4,3,16,"2,084","1,591",延迟装运,1%,16,2014/1/13,中国,中南,周口,设备,涂珑,0%,7,河南,技术,小型企业,CN-2014-1410437,2014/1/9,二级,"1,591"
"Memorex 键盘, 回收",4,3,126,"1,269",968,延迟装运,13%,126,2014/1/13,中国,西北,铜川,配件,唐栋,0%,3,陕西,技术,小型企业,CN-2014-1246652,2014/1/9,二级,968
"Enermax 信纸, 优质",4,3,66,288,220,延迟装运,30%,66,2014/1/14,中国,东北,牡丹江,纸张,方蔓楚,0%,1,黑龙江,办公用品,消费者,CN-2014-5895003,2014/1/10,二级,220
"Enermax 备忘录便条, 回收",4,3,106,666,509,延迟装运,21%,106,2014/1/14,中国,东北,牡丹江,纸张,方蔓楚,0%,7,黑龙江,办公用品,消费者,CN-2014-5895003,2014/1/10,二级,509
"施乐 备忘录便条, 回收",6,6,15,164,125,准时装运,12%,15,2014/1/16,中国,华东,高邮,纸张,付涛,0%,2,江苏,办公用品,公司,CN-2014-4078386,2014/1/10,标准级,125
"Kraft 局间信封, 红色",2,1,26,309,235,延迟装运,11%,26,2014/1/13,中国,华北,天津,信封,贺虹,0%,1,天津,办公用品,公司,CN-2014-2766233,2014/1/11,一级,235
"Eldon 盒, 工业",5,6,29,197,150,提前装运,19%,29,2014/1/16,中国,东北,七台河,收纳具,潘雯,0%,3,黑龙江,办公用品,公司,CN-2014-2975416,2014/1/11,标准级,150
"Acme 大剪刀, 工业",5,6,101,946,722,提前装运,14%,101,2014/1/16,中国,东北,七台河,用品,潘雯,0%,3,黑龙江,办公用品,公司,CN-2014-2975416,2014/1/11,标准级,722
"Fiskars 修剪器, 蓝色",5,6,"1,159","3,104","2,369",提前装运,49%,"1,159",2014/1/16,中国,华东,沂水,用品,潘丽美,0%,12,山东,办公用品,公司,CN-2014-5703090,2014/1/11,标准级,"2,369"
"Acme 美工刀, 工业",5,6,-133,434,331,提前装运,-40%,-133,2014/1/16,中国,华东,松陵,用品,佘平,40%,3,江苏,办公用品,消费者,CN-2014-2779535,2014/1/11,标准级,331
"Accos 按钉, 整包",5,6,-41,160,122,提前装运,-34%,-41,2014/1/16,中国,华东,松陵,系固件,佘平,40%,3,江苏,办公用品,消费者,CN-2014-2779535,2014/1/11,标准级,122
"罗技 键区, 实惠",5,6,-65,510,389,提前装运,-17%,-65,2014/1/16,中国,华东,松陵,配件,佘平,40%,3,江苏,技术,消费者,CN-2014-2779535,2014/1/11,标准级,389
"罗技 鼠标, 实惠",6,6,198,895,683,准时装运,29%,198,2014/1/17,中国,华北,汉沽,配件,任婵娟,0%,5,天津,技术,公司,CN-2014-5340374,2014/1/11,标准级,683
"Smead 文件夹, 蓝色",0,0,67,214,163,准时装运,41%,67,2014/1/12,中国,华北,北京,收纳具,马丽娜,0%,2,北京,办公用品,消费者,CN-2014-5631342,2014/1/12,当日,163
"Hon 椅垫, 可调",0,0,542,"1,419","1,083",准时装运,50%,542,2014/1/12,中国,华北,北京,椅子,马丽娜,0%,4,北京,家具,消费者,CN-2014-5631342,2014/1/12,当日,"1,083"
"Novimex 凳子, 每套两件",0,0,280,"3,058","2,334",准时装运,12%,280,2014/1/12,中国,华北,北京,椅子,马丽娜,0%,3,北京,家具,消费者,CN-2014-5631342,2014/1/12,当日,"2,334"
"Stockwell 夹子, 每包 12 个",4,6,122,571,435,提前装运,28%,122,2014/1/16,中国,中南,常德,系固件,常光,0%,5,湖南,办公用品,公司,CN-2014-5698942,2014/1/12,标准级,435
"SAFCO 椅垫, 可调",2,1,802,"2,286","1,745",延迟装运,46%,802,2014/1/15,中国,华北,咸水沽,椅子,丁崆,0%,6,天津,家具,消费者,CN-2014-5834341,2014/1/13,一级,"1,745"
"Deflect-O 分层置放架, 优质",3,1,156,"1,024",781,延迟装运,20%,156,2014/1/16,中国,华东,宿州,用具,田立,0%,7,安徽,家具,消费者,CN-2014-5199872,2014/1/13,一级,781
"Rubvermaid 闹钟, 黑色",3,1,116,"3,067","2,341",延迟装运,5%,116,2014/1/16,中国,华东,宿州,用具,田立,0%,10,安徽,家具,消费者,CN-2014-5199872,2014/1/13,一级,"2,341"
"Accos 图钉, 金属",4,6,13,422,322,提前装运,4%,13,2014/1/17,中国,东北,大庆,系固件,薛柏,0%,5,黑龙江,办公用品,小型企业,CN-2014-5956361,2014/1/13,标准级,322
"Green Bar 信纸, 优质",4,6,553,"2,071","1,581",提前装运,35%,553,2014/1/17,中国,东北,大庆,纸张,薛柏,0%,7,黑龙江,办公用品,小型企业,CN-2014-5956361,2014/1/13,标准级,"1,581"
"Acco 装订机, 实惠",4,6,40,278,212,提前装运,19%,40,2014/1/17,中国,东北,大庆,装订机,薛柏,0%,3,黑龙江,办公用品,小型企业,CN-2014-5956361,2014/1/13,标准级,212
"Deflect-O 框架, 优质",4,6,243,664,507,提前装运,48%,243,2014/1/17,中国,东北,大庆,用具,薛柏,0%,1,黑龙江,家具,小型企业,CN-2014-5956361,2014/1/13,标准级,507
"Binney & Smith 铅笔刀, 蓝色",5,6,-146,98,75,提前装运,-195%,-146,2014/1/21,中国,华东,徐州,美术,薛梦,80%,3,江苏,办公用品,消费者,US-2014-5586841,2014/1/16,标准级,75
"Eldon 框架, 黑色",2,1,"1,247","3,554","2,713",延迟装运,46%,"1,247",2014/1/19,中国,华北,天津,用具,蒋冬露,0%,5,天津,家具,消费者,CN-2014-4246507,2014/1/17,一级,"2,713"
"Eldon 灯泡, 黑色",2,1,103,308,235,延迟装运,44%,103,2014/1/19,中国,华北,天津,用具,蒋冬露,0%,2,天津,家具,消费者,CN-2014-4246507,2014/1/17,一级,235
"Acme 开信刀, 锯齿状",4,6,18,494,377,提前装运,5%,18,2014/1/21,中国,东北,沈阳,用品,秦君,40%,5,辽宁,办公用品,小型企业,CN-2014-3706710,2014/1/17,标准级,377
"诺基亚 音频基座, 蓝色",4,6,-140,"3,671","2,801",提前装运,-5%,-140,2014/1/21,中国,东北,沈阳,电话,秦君,40%,6,辽宁,技术,小型企业,CN-2014-3706710,2014/1/17,标准级,"2,801"
"Rogers 文件车, 单宽度",5,3,"1,586","5,197","3,966",延迟装运,40%,"1,586",2014/1/22,中国,华北,辛置,收纳具,曹欢悦,0%,6,山西,办公用品,小型企业,CN-2014-1105815,2014/1/17,二级,"3,966"
"Eldon 框架, 优质",5,3,740,"2,107","1,608",延迟装运,46%,740,2014/1/22,中国,华北,辛置,用具,曹欢悦,0%,3,山西,家具,小型企业,CN-2014-1105815,2014/1/17,二级,"1,608"
"Office Star 扶手椅, 红色",6,6,"1,527","5,717","4,363",准时装运,35%,"1,527",2014/1/23,中国,华东,蒙阴,椅子,范刚,0%,2,山东,家具,消费者,CN-2014-2146974,2014/1/17,标准级,"4,363"
"KitchenAid 咖啡研磨机, 红色",2,3,144,"1,724","1,315",提前装运,11%,144,2014/1/20,中国,中南,长沙,器具,涂博,0%,4,湖南,办公用品,消费者,CN-2014-5105254,2014/1/18,二级,"1,315"
"OIC 订书钉, 每包 12 个",5,3,37,132,101,延迟装运,37%,37,2014/1/23,中国,华东,颍上城关镇,系固件,贾松,0%,2,安徽,办公用品,消费者,CN-2014-3064630,2014/1/18,二级,101
"宜家 搁架, 白色",1,1,403,"1,057",807,准时装运,50%,403,2014/1/22,中国,东北,延吉,书架,肖冬露,0%,1,吉林,家具,小型企业,CN-2014-5173564,2014/1/21,一级,807
"Harbour Creations 运输标签, 耐用",2,1,132,362,277,延迟装运,48%,132,2014/1/23,中国,华东,曲阜,标签,谭君,0%,5,山东,办公用品,公司,CN-2014-4497265,2014/1/21,一级,277
"Stockwell 回形针, 混合尺寸",2,1,51,335,256,延迟装运,20%,51,2014/1/23,中国,华东,曲阜,系固件,谭君,0%,5,山东,办公用品,公司,CN-2014-4497265,2014/1/21,一级,256
"Eldon 搁板, 金属",2,3,124,581,443,提前装运,28%,124,2014/1/23,中国,东北,珲春,收纳具,马雯,0%,2,吉林,办公用品,公司,CN-2014-2575295,2014/1/21,二级,443
"OIC 按钉, 混合尺寸",3,1,-26,136,104,延迟装运,-25%,-26,2014/1/24,中国,华东,余姚,系固件,谭临耀,40%,3,浙江,办公用品,消费者,CN-2014-1778069,2014/1/21,一级,104
"Acco 孔加固材料, 实惠",3,1,1,73,56,延迟装运,2%,1,2014/1/24,中国,华东,余姚,装订机,谭临耀,40%,3,浙江,办公用品,消费者,CN-2014-1778069,2014/1/21,一级,56
"Deflect-O 相框, 耐用",3,1,-89,539,411,延迟装运,-22%,-89,2014/1/24,中国,华东,余姚,用具,谭临耀,40%,3,浙江,家具,消费者,CN-2014-1778069,2014/1/21,一级,411
"Rogers 盘, 金属",5,6,731,"2,229","1,701",提前装运,43%,731,2014/1/27,中国,西北,西安,收纳具,徐岱,0%,6,陕西,办公用品,公司,CN-2014-4217149,2014/1/22,标准级,"1,701"
"Acco 打孔机, 回收",5,6,108,373,284,提前装运,38%,108,2014/1/27,中国,西北,西安,装订机,徐岱,0%,2,陕西,办公用品,公司,CN-2014-4217149,2014/1/22,标准级,284
"KitchenAid 炉灶, 白色",4,3,955,"6,950","5,304",延迟装运,18%,955,2014/1/27,中国,华北,太原,器具,潘健,0%,2,山西,办公用品,消费者,CN-2014-3746616,2014/1/23,二级,"5,304"
"宜家 墙角架, 传统",4,3,620,"2,258","1,723",延迟装运,36%,620,2014/1/27,中国,华北,太原,书架,潘健,0%,3,山西,家具,消费者,CN-2014-3746616,2014/1/23,二级,"1,723"
"Breville 搅拌机, 红色",4,3,126,"1,656","1,263",延迟装运,10%,126,2014/1/29,中国,华北,保定,器具,夏惠英,0%,3,河北,办公用品,消费者,CN-2014-3361827,2014/1/25,二级,"1,263"
"Acco 孔加固材料, 实惠",4,3,64,204,155,延迟装运,41%,64,2014/1/29,中国,华北,保定,装订机,夏惠英,0%,5,河北,办公用品,消费者,CN-2014-3361827,2014/1/25,二级,155
"Cardinal 打孔机, 回收",4,3,81,535,408,延迟装运,20%,81,2014/1/29,中国,华北,保定,装订机,夏惠英,0%,3,河北,办公用品,消费者,CN-2014-3361827,2014/1/25,二级,408
"夏普 无线传真机, 红色",4,3,"1,983","8,662","6,610",延迟装运,30%,"1,983",2014/1/29,中国,华北,保定,复印机,夏惠英,0%,4,河北,技术,消费者,CN-2014-3361827,2014/1/25,二级,"6,610"
"Dania 搁架, 传统",7,6,537,"2,071","1,581",延迟装运,34%,537,2014/2/1,中国,中南,南阳,书架,贺平,0%,2,河南,家具,消费者,CN-2014-2966078,2014/1/25,标准级,"1,581"
"Fiskars 美工刀, 蓝色",2,1,13,869,663,延迟装运,2%,13,2014/1/28,中国,西南,重庆,用品,黄岱,0%,4,重庆,办公用品,消费者,CN-2014-2484493,2014/1/26,一级,663
"Avery 装订机, 耐用",2,1,68,264,202,延迟装运,34%,68,2014/1/28,中国,西南,重庆,装订机,黄岱,0%,3,重庆,办公用品,消费者,CN-2014-2484493,2014/1/26,一级,202
"Acco 装订机盖, 实惠",2,3,24,163,124,提前装运,19%,24,2014/1/28,中国,中南,南宁,装订机,唐安,0%,2,广西,办公用品,消费者,CN-2014-1047687,2014/1/26,二级,124
"摩托罗拉 信号增强器, 全尺寸",2,1,"1,078","3,533","2,696",延迟装运,40%,"1,078",2014/1/28,中国,西南,重庆,电话,黄岱,0%,4,重庆,技术,消费者,CN-2014-2484493,2014/1/26,一级,"2,696"
"Fiskars 开信刀, 钢",3,3,149,501,383,准时装运,39%,149,2014/1/29,中国,华东,上海,用品,韦实,0%,3,上海,办公用品,消费者,CN-2014-2698139,2014/1/26,二级,383
"Avery 装订机, 耐用",3,3,91,352,269,准时装运,34%,91,2014/1/29,中国,华东,上海,装订机,韦实,0%,4,上海,办公用品,消费者,CN-2014-2698139,2014/1/26,二级,269
"Chromcraft 木桌, 黑色",3,3,-181,"7,082","5,404",准时装运,-3%,-181,2014/1/29,中国,华东,上海,桌子,韦实,40%,4,上海,家具,消费者,CN-2014-2698139,2014/1/26,二级,"5,404"
"三星 智能手机, 混合尺寸",3,3,400,"3,084","2,354",准时装运,17%,400,2014/1/29,中国,华东,上海,电话,韦实,0%,4,上海,技术,消费者,CN-2014-2698139,2014/1/26,二级,"2,354"
"思科 充电器, 整包",3,3,"2,250","7,968","6,080",准时装运,37%,"2,250",2014/1/29,中国,华东,上海,电话,韦实,0%,2,上海,技术,消费者,CN-2014-2698139,2014/1/26,二级,"6,080"
"Cameo 商业信封, 回收",0,0,29,193,147,准时装运,20%,29,2014/1/27,中国,东北,青冈,信封,段强,0%,2,黑龙江,办公用品,公司,CN-2014-2706465,2014/1/27,当日,147
"Acco 订书机, 耐用",0,0,464,"2,251","1,718",准时装运,27%,464,2014/1/27,中国,东北,青冈,装订机,段强,0%,7,黑龙江,办公用品,公司,CN-2014-2706465,2014/1/27,当日,"1,718"
"Tenex 文件车, 单宽度",2,1,745,"5,743","4,383",延迟装运,17%,745,2014/1/29,中国,西南,重庆,收纳具,韦华,0%,7,重庆,办公用品,公司,CN-2014-2267443,2014/1/27,一级,"4,383"
"Avery 合法证物标签, 耐用",2,1,16,72,55,延迟装运,29%,16,2014/1/29,中国,西南,重庆,标签,韦华,0%,1,重庆,办公用品,公司,CN-2014-2267443,2014/1/27,一级,55
"Boston 画布, 整包",2,1,100,"1,648","1,258",延迟装运,8%,100,2014/1/29,中国,西南,重庆,美术,韦华,0%,5,重庆,办公用品,公司,CN-2014-2267443,2014/1/27,一级,"1,258"
"爱普生 打印机, 白色",2,1,183,"7,981","6,091",延迟装运,3%,183,2014/1/29,中国,西南,重庆,设备,韦华,0%,5,重庆,技术,公司,CN-2014-2267443,2014/1/27,一级,"6,091"
"诺基亚 信号增强器, 蓝色",5,6,32,835,637,提前装运,5%,32,2014/2/1,中国,华东,滁州,电话,林康,0%,1,安徽,技术,公司,US-2014-1951831,2014/1/27,标准级,637
"Breville 炉灶, 红色",4,3,"1,625","6,868","5,241",延迟装运,31%,"1,625",2014/2/3,中国,东北,朗乡,器具,范晒明,0%,2,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,"5,241"
"Novimex 运输标签, 白色",4,3,72,201,154,延迟装运,47%,72,2014/2/3,中国,东北,朗乡,标签,范晒明,0%,3,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,154
"Kleencut 剪刀, 锯齿状",4,3,110,465,354,延迟装运,31%,110,2014/2/3,中国,东北,朗乡,用品,范晒明,0%,4,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,354
"BIC 铅笔刀, 金属",4,3,-43,296,226,延迟装运,-19%,-43,2014/2/3,中国,东北,朗乡,美术,范晒明,20%,2,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,226
"Acco 标签, 耐用",4,3,37,185,141,延迟装运,26%,37,2014/2/3,中国,东北,朗乡,装订机,范晒明,0%,3,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,141
"Office Star 摇椅, 每套两件",4,3,80,"3,502","2,672",延迟装运,3%,80,2014/2/3,中国,东北,朗乡,椅子,范晒明,0%,4,黑龙江,家具,消费者,US-2014-1255631,2014/1/30,二级,"2,672"
"罗技 记忆卡, 可编程",4,3,215,"2,565","1,958",延迟装运,11%,215,2014/2/3,中国,东北,朗乡,配件,范晒明,0%,4,黑龙江,技术,消费者,US-2014-1255631,2014/1/30,二级,"1,958"
"罗技 闪存驱动器, 可编程",4,3,149,979,747,延迟装运,20%,149,2014/2/3,中国,东北,朗乡,配件,范晒明,0%,5,黑龙江,技术,消费者,US-2014-1255631,2014/1/30,二级,747
"Fiskars 开信刀, 蓝色",6,6,86,512,391,准时装运,22%,86,2014/2/5,中国,西北,榆林,用品,王辉,0%,3,陕西,办公用品,消费者,US-2014-1951831,2014/1/30,标准级,391
"苹果 充电器, 全尺寸",6,6,"3,927","23,391","17,850",准时装运,22%,"3,927",2014/2/5,中国,西北,榆林,电话,王辉,0%,6,陕西,技术,消费者,US-2014-1951831,2014/1/30,标准级,"17,850"
"Tenex 盘, 蓝色",7,6,248,663,506,延迟装运,49%,248,2014/2/6,中国,中南,皇岗,收纳具,唐爽,0%,2,广东,办公用品,小型企业,CN-2014-2829745,2014/1/30,标准级,506
"Harbour Creations 凳子, 可调",7,6,443,"2,010","1,534",延迟装运,29%,443,2014/2/6,中国,中南,皇岗,椅子,唐爽,10%,2,广东,家具,小型企业,CN-2014-2829745,2014/1/30,标准级,"1,534"
"Hon 扶手椅, 黑色",7,6,552,"5,005","3,820",延迟装运,14%,552,2014/2/6,中国,中南,皇岗,椅子,唐爽,10%,2,广东,家具,小型企业,CN-2014-2829745,2014/1/30,标准级,"3,820"
"Dania 书架, 金属",5,6,0,"3,109","2,373",提前装运,0%,0,2014/2/5,中国,华北,集宁,书架,薛君,40%,7,内蒙古,家具,消费者,CN-2014-4820840,2014/1/31,标准级,"2,373"
"StarTech 卡片打印机, 耐用",5,6,183,"2,401","1,833",提前装运,10%,183,2014/2/5,中国,华北,集宁,设备,薛君,40%,4,内蒙古,技术,消费者,CN-2014-4820840,2014/1/31,标准级,"1,833"
"Enermax 键盘, 可编程",5,6,-321,935,714,提前装运,-45%,-321,2014/2/5,中国,华北,集宁,配件,薛君,40%,3,内蒙古,技术,消费者,CN-2014-4820840,2014/1/31,标准级,714
"SAFCO 沙滩椅, 可调",2,1,662,"2,223","1,696",延迟装运,39%,662,2014/2/3,中国,华北,北京,椅子,韩莞颖,0%,7,北京,家具,小型企业,CN-2014-2883758,2014/2/1,一级,"1,696"
"Ibico 装订机, 实惠",3,3,83,379,289,准时装运,29%,83,2014/2/4,中国,西南,鱼洞,装订机,袁丽华,0%,4,重庆,办公用品,公司,CN-2014-3097655,2014/2/1,二级,289
"冲电器 打印机, 耐用",3,3,"1,090","4,928","3,761",准时装运,29%,"1,090",2014/2/4,中国,华东,曲阜,设备,殷昌,0%,3,山东,技术,消费者,CN-2014-5339863,2014/2/1,二级,"3,761"
